City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Hobart,AU,-42.8794,147.3294,290.96,70,63,2.57,broken clouds
1,Sisimiut,GL,66.9395,-53.6735,262.75,75,100,9.1,overcast clouds
2,Bluff,NZ,-46.6,168.3333,281.37,85,19,1.98,few clouds
3,Rosario Do Sul,BR,-30.2583,-54.9142,300.71,27,0,4.94,clear sky
4,Ushuaia,AR,-54.8,-68.3,285.96,44,40,13.89,scattered clouds
5,Anloga,GH,5.7947,0.8973,302.48,71,79,7.32,broken clouds
6,Vila Velha,BR,-20.3297,-40.2925,303.12,62,75,3.6,broken clouds
7,Adrar,MR,20.5022,-10.0711,298.2,13,53,5.45,broken clouds
8,Kapaa,US,22.0752,-159.319,295.33,84,40,6.69,light rain
9,Mulanur,IN,10.7667,77.7167,299.1,54,99,5.63,overcast clouds
10,Busselton,AU,-33.65,115.3333,293.75,66,6,7.01,clear sky
11,Hearst,CA,49.6835,-83.6665,239.29,88,57,1.39,broken clouds
12,Tiksi,RU,71.6872,128.8694,248.45,93,100,5.09,overcast clouds
13,Saint George,US,37.1041,-113.5841,285.57,37,0,1.54,clear sky
14,Koosa,EE,58.5255,27.0795,274.23,78,100,7.15,overcast clouds
15,Airai,TL,-8.9266,125.4092,288.71,91,99,1.04,overcast clouds
16,Arraial Do Cabo,BR,-22.9661,-42.0278,301.13,78,40,4.12,scattered clouds
17,Cidreira,BR,-30.1811,-50.2056,298.64,73,80,4.22,broken clouds
18,Hermanus,ZA,-34.4187,19.2345,298.6,72,5,6.6,clear sky
19,Tuktoyaktuk,CA,69.4541,-133.0374,236.15,67,0,2.57,clear sky
20,Hamilton,US,39.1834,-84.5333,267.38,67,100,3.6,overcast clouds
21,Igurusi,TZ,-8.85,33.85,294.96,88,100,0.92,light rain
22,Ozernovskiy,RU,51.5,156.5167,265.69,63,5,2.74,clear sky
23,Mount Isa,AU,-20.7333,139.5,295.02,100,100,2.57,overcast clouds
24,Rovinj,HR,45.08,13.64,283.26,62,100,1.7,overcast clouds
25,Adra,ES,36.7496,-3.0206,291.38,74,1,2.77,clear sky
26,Cape Coast,GH,5.1053,-1.2466,301.97,72,96,7.49,overcast clouds
27,Puerto Ayora,EC,-0.7393,-90.3518,299.13,87,100,0.45,overcast clouds
28,New Norfolk,AU,-42.7826,147.0587,290.77,49,82,1.29,light rain
29,Bredasdorp,ZA,-34.5322,20.0403,298.31,64,3,5.66,clear sky
30,Punta Arenas,CL,-53.15,-70.9167,284.21,50,40,24.18,scattered clouds
31,Acarau,BR,-2.8856,-40.12,303.24,63,89,6.69,overcast clouds
32,Harlingen,US,26.1906,-97.6961,281.42,63,19,5.25,few clouds
33,Pandan,PH,14.0453,124.1694,298.51,80,70,5.51,broken clouds
34,Ketchikan,US,55.3422,-131.6461,277.14,100,100,1.54,mist
35,Ferme-Neuve,CA,46.7001,-75.4493,247.03,79,98,1.97,overcast clouds
36,Khatanga,RU,71.9667,102.5,241.76,93,89,1.04,overcast clouds
37,Mataura,NZ,-46.1927,168.8643,281.19,99,31,0.94,scattered clouds
38,Rikitea,PF,-23.1203,-134.9692,298.91,70,6,5.18,clear sky
39,Puerto Narino,CO,-3.7703,-70.3831,297.12,76,100,1.95,moderate rain
40,Salekhard,RU,66.53,66.6019,245.78,100,99,0.98,overcast clouds
41,Namibe,AO,-15.1961,12.1522,299.39,65,100,4.6,overcast clouds
42,Hambantota,LK,6.1241,81.1185,299.34,89,40,2.57,scattered clouds
43,Port Lincoln,AU,-34.7333,135.8667,291.66,91,35,5.96,scattered clouds
44,Butaritari,KI,3.0707,172.7902,301.16,70,94,4.99,overcast clouds
45,Ahipara,NZ,-35.1667,173.1667,289.98,69,8,3.76,clear sky
46,Komsomolskiy,UZ,40.4272,71.7189,278.55,81,75,1.03,mist
47,Kutum,SD,14.2,24.6667,300.37,7,45,7.43,scattered clouds
48,Ippy,CF,6.2679,21.2247,310.14,11,100,0.62,overcast clouds
49,Saskylakh,RU,71.9167,114.0833,247.22,84,30,1.73,scattered clouds
50,Victoria,HK,22.2855,114.1577,290.51,86,100,5.36,light rain
51,Dikson,RU,73.5069,80.5464,253.4,87,100,12.03,overcast clouds
52,Port Alfred,ZA,-33.5906,26.891,297.78,74,87,5.53,overcast clouds
53,Luderitz,NA,-26.6481,15.1594,297.36,65,9,5.59,clear sky
54,Albany,US,42.6001,-73.9662,270.42,65,100,0.45,overcast clouds
55,Kodiak,US,57.79,-152.4072,271.88,86,0,2.57,clear sky
56,Visby,SE,57.6409,18.296,276.51,81,0,11.32,clear sky
57,Black River,JM,18.0264,-77.8487,300.36,57,1,0.75,clear sky
58,Sorong,ID,-0.8833,131.25,299.37,80,100,1.57,overcast clouds
59,Port Hedland,AU,-20.3167,118.5667,303.18,70,40,2.57,scattered clouds
60,Vila Franca Do Campo,PT,37.7167,-25.4333,291.04,71,100,3.25,overcast clouds
61,Pangnirtung,CA,66.1451,-65.7125,243.15,76,20,2.06,few clouds
62,Sorochinsk,RU,52.4338,53.1583,261.42,98,43,2.79,scattered clouds
63,Cotonou,BJ,6.3654,2.4183,303.03,67,61,5.97,light rain
64,Provideniya,RU,64.3833,-173.3,248.62,93,15,1.71,few clouds
65,Comodoro Rivadavia,AR,-45.8667,-67.5,307.07,15,0,8.75,clear sky
66,Pecos,US,31.4229,-103.4932,276.1,54,0,0.0,clear sky
67,Pisco,PE,-13.7,-76.2167,295.18,68,0,4.63,clear sky
68,Vaini,TO,-21.2,-175.2,299.24,89,20,3.09,few clouds
69,Chuy,UY,-33.6971,-53.4616,295.08,40,0,6.5,clear sky
70,Codrington,AU,-38.2667,141.9667,289.14,95,55,2.56,broken clouds
71,Rawson,AR,-43.3002,-65.1023,301.69,23,15,6.35,few clouds
72,Isla Mujeres,MX,21.2311,-86.731,296.18,85,23,7.51,few clouds
73,Castro,BR,-24.7911,-50.0119,299.14,55,4,1.43,clear sky
74,Kieta,PG,-6.2167,155.6333,298.86,84,96,0.93,light rain
75,Leningradskiy,RU,69.3833,178.4167,245.08,96,96,2.45,overcast clouds
76,Mar Del Plata,AR,-38.0023,-57.5575,291.97,71,75,5.36,broken clouds
77,Laguna,US,38.421,-121.4238,290.05,90,0,1.54,mist
78,Jamestown,US,42.097,-79.2353,264.98,61,100,2.06,overcast clouds
79,Ciudad Bolivar,VE,8.1222,-63.5497,303.74,47,95,5.25,overcast clouds
80,Mahebourg,MU,-20.4081,57.7,301.31,78,40,3.09,scattered clouds
81,Atuona,PF,-9.8,-139.0333,298.4,77,26,5.78,light rain
82,Gorontalo,ID,0.5412,123.0595,296.44,96,98,0.76,overcast clouds
83,Chokurdakh,RU,70.6333,147.9167,254.07,96,100,5.15,overcast clouds
84,Bethel,US,41.3712,-73.414,272.86,83,100,2.68,light snow
85,Carutapera,BR,-1.195,-46.02,301.06,78,60,3.77,broken clouds
86,Alofi,NU,-19.0595,-169.9187,296.09,94,100,1.54,overcast clouds
87,Sioux Lookout,CA,50.1001,-91.917,240.36,74,40,2.06,scattered clouds
88,Iqaluit,CA,63.7506,-68.5145,244.09,75,100,0.0,overcast clouds
89,Isangel,VU,-19.55,169.2667,299.1,90,87,2.66,overcast clouds
90,Pedro Juan Caballero,PY,-22.5472,-55.7333,303.13,62,38,2.06,haze
91,Nanortalik,GL,60.1432,-45.2371,271.35,80,100,5.94,overcast clouds
92,Ilulissat,GL,69.2167,-51.1,261.16,67,75,2.57,broken clouds
93,Thessalon,CA,46.2501,-83.5666,250.57,83,76,2.19,broken clouds
94,Pafos,CY,34.7667,32.4167,289.1,59,20,6.17,few clouds
95,Guerrero Negro,MX,27.9769,-114.0611,290.48,47,95,0.66,overcast clouds
96,Kokopo,PG,-4.352,152.2633,298.07,86,100,2.38,overcast clouds
97,Barrow,US,71.2906,-156.7887,239.16,100,0,4.12,clear sky
98,Kaeo,NZ,-35.1,173.7833,286.66,93,5,1.19,clear sky
99,Thinadhoo,MV,0.5333,72.9333,301.21,74,80,4.95,broken clouds
100,Gushikawa,JP,26.3544,127.8686,291.72,94,100,1.54,moderate rain
101,Avera,US,33.194,-82.5271,283.54,50,100,5.27,overcast clouds
102,Thompson,CA,55.7435,-97.8558,248.24,84,100,1.03,overcast clouds
103,Qaanaaq,GL,77.484,-69.3632,254.93,96,100,1.2,light snow
104,Korla,CN,41.7597,86.1469,272.81,43,0,2.05,clear sky
105,Gewane,ET,10.1664,40.6453,304.99,28,92,4.77,overcast clouds
106,Porto Novo,BJ,6.4965,2.6036,305.22,53,60,5.15,broken clouds
107,Hilo,US,19.7297,-155.09,292.0,92,75,3.09,broken clouds
108,Goderich,CA,43.7501,-81.7165,263.66,78,85,3.6,overcast clouds
109,Gat,IL,31.61,34.7642,290.53,45,0,3.2,clear sky
110,Yellowknife,CA,62.456,-114.3525,241.71,75,40,1.54,scattered clouds
111,Burns Lake,CA,54.2331,-125.7533,266.83,99,100,0.44,overcast clouds
112,Laiyang,CN,36.9758,120.7136,275.14,77,72,2.43,broken clouds
113,Jieshou,CN,33.2634,115.3611,279.06,79,100,2.47,overcast clouds
114,Talnakh,RU,69.4865,88.3972,251.37,69,10,4.09,clear sky
115,Jalgaon,IN,21.0167,75.5667,298.15,28,0,3.61,clear sky
116,Rawah,IQ,34.4816,41.9093,289.45,30,0,3.94,clear sky
117,Pierre,US,44.3683,-100.351,259.85,72,75,4.47,broken clouds
