City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Talnakh,RU,69.4865,88.3972,250.87,70,13,4.04,few clouds
1,Busselton,AU,-33.65,115.3333,291.51,71,5,5.59,clear sky
2,Dali,CN,25.7,100.1833,278.18,57,0,1.84,clear sky
3,Bredasdorp,ZA,-34.5322,20.0403,294.97,68,22,5.14,light rain
4,Bluff,NZ,-46.6,168.3333,279.15,87,11,1.69,few clouds
5,Iqaluit,CA,63.7506,-68.5145,244.09,75,75,1.03,broken clouds
6,Tuktoyaktuk,CA,69.4541,-133.0374,236.15,74,20,1.54,few clouds
7,Yulara,AU,-25.2406,130.9889,295.06,33,0,3.09,clear sky
8,Marawi,PH,7.9986,124.2928,291.29,91,93,1.03,overcast clouds
9,Broken Hill,AU,-31.95,141.4333,299.99,29,72,5.14,broken clouds
10,Mataura,NZ,-46.1927,168.8643,278.97,99,30,1.13,scattered clouds
11,Klaksvik,FO,62.2266,-6.589,274.66,69,100,13.88,overcast clouds
12,Albany,US,42.6001,-73.9662,270.12,60,100,0.45,overcast clouds
13,Murgab,TM,37.4966,61.9714,280.08,65,0,2.06,clear sky
14,West Wendover,US,40.7391,-114.0733,280.04,41,1,1.02,clear sky
15,Ilulissat,GL,69.2167,-51.1,266.16,58,75,8.23,broken clouds
16,Ushuaia,AR,-54.8,-68.3,280.96,76,100,21.61,heavy intensity rain
17,Abu Samrah,SY,35.3029,37.1841,284.6,53,1,1.33,clear sky
18,Homer,US,59.6425,-151.5483,274.69,94,100,1.79,mist
19,Cape Town,ZA,-33.9258,18.4232,295.43,78,20,11.83,few clouds
20,Fairbanks,US,64.8378,-147.7164,260.33,83,100,0.0,mist
21,Rikitea,PF,-23.1203,-134.9692,298.99,71,31,6.12,scattered clouds
22,Atuona,PF,-9.8,-139.0333,298.47,78,50,6.82,light rain
23,Avarua,CK,-21.2078,-159.775,297.18,100,98,1.54,overcast clouds
24,Hokitika,NZ,-42.7167,170.9667,283.09,76,77,2.83,broken clouds
25,Mullovka,RU,54.2,49.4,270.05,92,99,4.91,light snow
26,Butaritari,KI,3.0707,172.7902,301.0,73,95,5.6,overcast clouds
27,Daru,PG,-9.0763,143.2092,299.42,78,19,4.3,few clouds
28,Adrar,MR,20.5022,-10.0711,296.15,14,43,3.96,scattered clouds
29,Liverpool,GB,53.4106,-2.9779,284.09,93,100,6.17,light intensity drizzle
30,Hithadhoo,MV,-0.6,73.0833,301.16,76,85,4.9,overcast clouds
31,New Norfolk,AU,-42.7826,147.0587,289.87,59,93,0.64,overcast clouds
32,Portland,US,45.5234,-122.6762,285.96,56,0,1.34,clear sky
33,Carnarvon,AU,-24.8667,113.6333,299.19,83,16,2.06,few clouds
34,Punta Arenas,CL,-53.15,-70.9167,284.21,50,20,22.64,few clouds
35,Port Hardy,CA,50.6996,-127.4199,279.13,93,75,1.03,broken clouds
36,Alekseyevskaya,RU,50.2896,42.1845,266.54,88,9,4.48,clear sky
37,Sehithwa,BW,-20.4667,22.7167,298.82,49,59,2.6,broken clouds
38,Goure,NE,13.9835,10.2704,299.83,9,15,3.94,few clouds
39,Jamestown,US,42.097,-79.2353,267.64,35,100,3.6,overcast clouds
40,Port Elizabeth,ZA,-33.918,25.5701,294.31,83,100,5.66,overcast clouds
41,Fortuna,US,40.5982,-124.1573,284.66,82,0,0.0,clear sky
42,Berdigestyakh,RU,62.0989,126.6992,241.46,100,99,0.73,overcast clouds
43,Kidal,ML,18.4411,1.4078,299.14,9,44,4.01,scattered clouds
44,Wanning,CN,18.8003,110.3967,294.37,90,78,5.39,broken clouds
45,Kapaa,US,22.0752,-159.319,294.33,85,100,5.66,moderate rain
46,Karaton,ID,-6.3424,106.1045,297.24,87,100,1.19,overcast clouds
47,Verkhnetulomskiy,RU,68.6073,31.7962,262.22,80,100,3.11,overcast clouds
48,Sao Raimundo Nonato,BR,-9.0153,-42.6994,298.65,87,80,0.91,light rain
49,Boda,CF,4.3189,17.4695,301.16,18,100,1.33,overcast clouds
50,Bo Rai,TH,12.5728,102.5371,301.96,90,51,0.24,broken clouds
51,Tuatapere,NZ,-46.1333,167.6833,279.16,93,13,1.44,few clouds
52,Luena,AO,-11.7833,19.9167,290.12,93,96,0.55,overcast clouds
53,San Cristobal,VE,7.7669,-72.225,298.25,37,81,2.82,broken clouds
54,Barrow,US,71.2906,-156.7887,239.16,100,0,4.12,clear sky
55,Honiara,SB,-9.4333,159.95,298.69,86,97,1.39,overcast clouds
56,Batagay-Alyta,RU,67.8006,130.4114,250.37,86,100,1.49,overcast clouds
57,Te Anau,NZ,-45.4167,167.7167,279.06,94,25,0.24,scattered clouds
58,Manzanillo,CU,20.3433,-77.1167,302.81,54,2,3.55,clear sky
59,Dubbo,AU,-32.25,148.6167,290.22,77,49,5.14,scattered clouds
60,Cooma,AU,-36.2333,149.1333,283.02,93,100,1.54,overcast clouds
61,Torbay,CA,47.6666,-52.7314,281.42,70,75,11.83,broken clouds
62,Mali,GN,12.079,-12.2982,298.21,10,0,2.67,clear sky
63,Porto San Giorgio,IT,43.1827,13.7934,281.96,83,89,1.77,overcast clouds
64,Mount Gambier,AU,-37.8333,140.7667,290.1,88,100,4.63,overcast clouds
65,Lasa,IT,46.6166,10.7002,273.85,59,2,0.95,clear sky
66,Bereda,ES,43.2686,-7.5406,282.6,100,100,4.2,overcast clouds
67,La Trinidad,PH,16.455,120.5875,288.75,91,84,1.54,broken clouds
68,Richards Bay,ZA,-28.783,32.0377,297.99,81,8,2.43,clear sky
69,Tigil,RU,57.8,158.6667,249.1,99,100,1.52,overcast clouds
70,Mahebourg,MU,-20.4081,57.7,300.51,89,75,5.14,broken clouds
71,Pisco,PE,-13.7,-76.2167,297.18,64,0,3.6,clear sky
72,Talcahuano,CL,-36.7167,-73.1167,291.97,68,40,6.17,scattered clouds
73,Vila Velha,BR,-20.3297,-40.2925,305.12,75,40,5.14,scattered clouds
74,Lavrentiya,RU,65.5833,-171.0,243.75,94,25,1.66,scattered clouds
75,Chapais,CA,49.7834,-74.8492,250.03,81,96,1.59,overcast clouds
76,Hay River,CA,60.8156,-115.7999,245.14,76,75,1.03,light snow
77,Georgetown,MY,5.4112,100.3354,300.11,95,40,3.6,scattered clouds
78,Upernavik,GL,72.7868,-56.1549,251.76,96,100,6.16,overcast clouds
79,Yellowknife,CA,62.456,-114.3525,245.05,71,75,1.54,broken clouds
80,Hamilton,US,39.1834,-84.5333,271.51,59,20,2.57,few clouds
81,Arlit,NE,18.7369,7.3853,297.41,9,0,3.06,clear sky
82,Magsaysay,PH,6.7667,125.1833,297.58,90,92,0.52,overcast clouds
83,Nizhneudinsk,RU,54.9076,99.0276,243.36,99,70,1.37,broken clouds
84,Kruisfontein,ZA,-34.0033,24.7314,292.42,87,58,3.56,broken clouds
85,Clyde River,CA,70.4692,-68.5914,242.28,69,0,6.69,clear sky
86,Vaini,TO,-21.2,-175.2,299.24,89,20,2.57,few clouds
87,Hermanus,ZA,-34.4187,19.2345,296.98,82,14,6.73,few clouds
88,Mehamn,NO,71.0357,27.8492,267.25,79,0,8.23,clear sky
89,Beloha,MG,-25.1667,45.05,297.63,86,17,7.4,few clouds
90,Hilo,US,19.7297,-155.09,292.73,81,20,3.09,few clouds
91,Hobyo,SO,5.3505,48.5268,298.26,73,50,6.88,scattered clouds
92,Puerto Ayora,EC,-0.7393,-90.3518,301.13,86,100,3.13,overcast clouds
93,Carauari,BR,-4.8828,-66.8958,299.87,91,100,1.28,moderate rain
94,Mogapi,BW,-22.323,27.8349,296.87,36,89,3.28,overcast clouds
95,Kodiak,US,57.79,-152.4072,270.88,86,0,3.09,clear sky
96,Saint-Philippe,RE,-21.3585,55.7679,299.92,87,36,4.19,scattered clouds
97,Port Alfred,ZA,-33.5906,26.891,295.95,85,86,3.3,overcast clouds
98,Alofi,NU,-19.0595,-169.9187,296.09,94,100,2.06,overcast clouds
99,Alice Springs,AU,-23.7,133.8833,289.9,72,0,2.06,clear sky
100,Nikolskoye,RU,59.7035,30.7861,273.55,93,100,5.81,light snow
101,Victoria,HK,22.2855,114.1577,288.84,90,100,1.34,light rain
102,Arraial Do Cabo,BR,-22.9661,-42.0278,300.13,74,40,7.2,scattered clouds
103,Cedar City,US,37.6775,-113.0619,282.81,35,0,0.0,clear sky
104,Dikson,RU,73.5069,80.5464,253.42,87,100,11.64,overcast clouds
105,Sobolevo,RU,54.4299,31.8996,269.23,85,84,5.96,broken clouds
106,Huarmey,PE,-10.0681,-78.1522,298.68,69,15,5.22,few clouds
107,Hobart,AU,-42.8794,147.3294,290.07,82,75,7.72,broken clouds
108,College,US,64.8569,-147.8028,260.32,83,100,0.0,light snow
109,Tromso,NO,69.6496,18.957,268.16,74,75,4.63,broken clouds
110,Synya,RU,65.3718,58.0387,261.53,94,98,2.99,overcast clouds
111,Yambio,SS,4.5721,28.3955,302.37,27,49,1.56,scattered clouds
112,Salinopolis,BR,-0.6136,-47.3561,299.82,83,97,3.56,overcast clouds
113,Arman,RU,59.7,150.1667,249.22,80,20,3.95,few clouds
114,Cockburn Town,TC,21.4612,-71.1419,298.54,80,1,8.55,clear sky
115,Humaita,BR,-7.5061,-63.0208,300.11,88,100,1.69,overcast clouds
116,Nouadhibou,MR,20.931,-17.0347,295.14,64,63,7.72,broken clouds
117,Bud,US,39.447,-86.1758,269.5,61,40,2.84,scattered clouds
118,Bethel,US,41.3712,-73.414,272.92,79,100,4.47,snow
119,Port Hedland,AU,-20.3167,118.5667,302.18,79,40,3.09,scattered clouds
120,Cherskiy,RU,68.75,161.3,244.64,98,100,3.56,overcast clouds
121,Mackay,AU,-21.15,149.2,298.14,73,40,10.29,scattered clouds
122,Acara,BR,-1.9608,-48.1967,299.18,93,98,0.33,overcast clouds
123,Banjar,ID,-8.19,114.9675,299.07,91,100,1.24,overcast clouds
124,Panama City,PA,8.9936,-79.5197,307.69,52,20,3.6,few clouds
125,Manaus,BR,-3.1019,-60.025,301.43,78,75,1.54,moderate rain
126,Bengkulu,ID,-3.8004,102.2655,298.22,89,100,2.15,overcast clouds
127,Ponta Do Sol,PT,32.6667,-17.1,292.11,68,74,1.6,broken clouds
128,Kendari,ID,-3.945,122.4989,296.72,93,100,2.01,overcast clouds
129,Qaqortoq,GL,60.7167,-46.0333,270.43,88,100,5.29,overcast clouds
130,Saskylakh,RU,71.9167,114.0833,246.69,84,47,1.64,scattered clouds
131,Vostok,RU,46.4856,135.8833,257.12,98,100,0.6,overcast clouds
132,Muros,ES,42.7762,-9.0603,285.98,75,69,9.77,broken clouds
133,Hilton Head Island,US,32.2163,-80.7526,289.82,73,75,2.24,broken clouds
134,Constitucion,CL,-35.3333,-72.4167,293.61,70,63,4.58,broken clouds
135,Esperance,AU,-33.8667,121.9,288.06,73,0,5.52,clear sky
136,Pacific Grove,US,36.6177,-121.9166,295.69,68,0,0.89,clear sky
137,Moron,AR,-34.6534,-58.6198,299.71,33,20,5.66,few clouds
138,Lorengau,PG,-2.0226,147.2712,300.01,78,99,1.02,overcast clouds
139,Jimma,ET,7.6667,36.8333,293.28,46,42,0.65,scattered clouds
140,Tynda,RU,55.1667,124.7167,244.67,97,77,1.14,broken clouds
141,Kirkenaer,NO,60.4564,12.0582,278.86,92,100,4.71,overcast clouds
142,Pevek,RU,69.7008,170.3133,245.79,98,100,4.06,overcast clouds
143,Whitehorse,CA,60.7161,-135.0538,261.58,85,75,1.54,broken clouds
144,Pauini,BR,-7.7136,-66.9764,305.38,53,91,1.49,moderate rain
145,Stonewall,CA,50.1344,-97.3268,253.7,95,100,7.04,light snow
146,Fez,MA,34.0372,-4.9998,292.21,22,0,2.06,clear sky
147,Wadi Maliz,TN,36.4681,8.5495,286.96,70,100,1.31,overcast clouds
148,Atambua,ID,-9.1061,124.8925,296.18,89,88,1.03,overcast clouds
149,Hutang,CN,31.5333,119.4833,273.22,89,78,1.32,broken clouds
150,Mar Del Plata,AR,-38.0023,-57.5575,293.16,64,0,4.02,light rain
151,Hervey Bay,AU,-25.2986,152.8535,293.21,77,24,7.73,few clouds
152,Hasaki,JP,35.7333,140.8333,275.53,95,100,14.81,light rain
153,Bakchar,RU,57.0186,82.0711,262.06,94,100,3.47,overcast clouds
154,Ojinaga,MX,29.5667,-104.4167,287.36,37,0,0.0,clear sky
155,Karpathos,GR,35.507,27.2132,286.13,82,40,6.69,scattered clouds
156,Binga,ZW,-17.6203,27.3414,297.45,73,22,2.23,few clouds
157,Padang,ID,-0.9492,100.3543,298.2,85,100,1.69,overcast clouds
158,Shirokiy,RU,49.758,129.523,255.56,98,100,1.37,overcast clouds
159,Avera,US,33.194,-82.5271,286.17,38,100,6.32,overcast clouds
160,Verkhnevilyuysk,RU,63.4453,120.3167,244.62,100,99,0.9,overcast clouds
161,Rawson,AR,-43.3002,-65.1023,304.77,21,9,8.24,clear sky
162,Cidreira,BR,-30.1811,-50.2056,296.12,85,91,5.22,overcast clouds
163,Constantine,DZ,36.365,6.6147,283.82,57,40,1.54,scattered clouds
164,Ixtapa,MX,20.7,-105.2,304.98,19,92,2.24,overcast clouds
165,Olyka,UA,50.7186,25.8125,273.67,69,46,4.33,scattered clouds
166,Nsanje,MW,-16.92,35.262,297.12,96,100,1.22,overcast clouds
167,Leningradskiy,RU,69.3833,178.4167,245.56,94,95,2.59,overcast clouds
168,Chumikan,RU,54.7183,135.315,248.6,93,93,2.09,overcast clouds
169,Saint-Joseph,RE,-21.3667,55.6167,299.36,86,30,4.71,scattered clouds
170,Begamganj,IN,23.6,78.3333,289.26,28,0,2.08,clear sky
171,East London,ZA,-33.0153,27.9116,295.67,94,75,5.66,broken clouds
172,Polyarnyy,RU,69.1989,33.4478,262.41,71,99,4.04,overcast clouds
173,Dicabisagan,PH,17.0818,122.4157,297.31,87,93,2.91,overcast clouds
174,Riyadh,SA,24.6877,46.7219,289.23,28,0,3.62,clear sky
175,Craigieburn,AU,-37.6,144.95,293.03,54,0,3.6,clear sky
176,Ankazobe,MG,-18.3167,47.1167,292.38,81,97,1.4,light rain
177,Hisai,JP,34.6667,136.4667,280.04,94,100,3.61,light rain
178,Taltal,CL,-25.4,-70.4833,295.3,68,1,4.09,clear sky
179,Provideniya,RU,64.3833,-173.3,247.75,94,17,1.72,few clouds
180,Kirakira,SB,-10.4544,161.9205,299.29,84,99,3.76,overcast clouds
181,Noshiro,JP,40.2039,140.0242,267.83,78,81,2.64,broken clouds
182,Northam,GB,51.0333,-4.2167,283.94,96,100,7.61,overcast clouds
183,Sovetskiy,RU,61.3614,63.5842,248.87,100,69,1.01,broken clouds
184,Gavrilovka Vtoraya,RU,52.877,42.7663,269.21,94,99,4.75,overcast clouds
185,Laela,TZ,-8.5667,32.05,288.87,95,100,1.17,light rain
186,Kachiry,KZ,53.0675,76.1036,258.84,93,88,5.94,overcast clouds
187,Namie,JP,37.4833,141.0,275.8,82,100,4.5,overcast clouds
188,Yar-Sale,RU,66.8333,70.8333,250.47,94,100,4.02,overcast clouds
189,Whitecourt,CA,54.1502,-115.6855,274.73,60,40,4.63,scattered clouds
190,Mogadouro,PT,41.3403,-6.7119,280.25,91,100,6.57,overcast clouds
191,Glubokiy,RU,48.5217,40.3258,271.89,89,6,3.31,clear sky
192,Yerbogachen,RU,61.2767,108.0108,239.19,100,88,1.5,overcast clouds
193,Qaanaaq,GL,77.484,-69.3632,251.27,94,100,1.02,overcast clouds
194,Bonavista,CA,48.6499,-53.1147,278.15,67,100,7.6,overcast clouds
195,Saint George,US,37.1041,-113.5841,289.56,26,0,0.0,clear sky
196,Amga,RU,60.8953,131.9608,248.51,99,100,0.2,overcast clouds
197,Touros,BR,-5.1989,-35.4608,304.65,63,6,5.89,clear sky
198,Agadez,NE,19.75,10.25,292.14,13,3,2.55,clear sky
199,Zhuji,CN,29.7188,120.2423,279.2,96,100,1.03,overcast clouds
200,Port Lincoln,AU,-34.7333,135.8667,291.86,88,42,5.28,scattered clouds
201,Beringovskiy,RU,63.05,179.3167,239.92,97,10,2.38,clear sky
202,Khatanga,RU,71.9667,102.5,241.93,92,88,1.46,overcast clouds
203,Baiao,BR,-2.7906,-49.6717,297.51,89,100,1.11,overcast clouds
204,Emilio Carranza,MX,19.9711,-96.6114,289.99,64,72,11.01,broken clouds
