City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Mar Del Plata,AR,-38.0023,-57.5575,290.3,73,40,4.47,scattered clouds
1,Punta Arenas,CL,-53.15,-70.9167,283.21,71,0,3.09,clear sky
2,Butaritari,KI,3.0707,172.7902,301.53,70,100,6.28,overcast clouds
3,Albany,US,42.6001,-73.9662,273.51,67,91,0.89,overcast clouds
4,Ondjiva,AO,-17.0667,15.7333,293.2,88,100,3.03,light rain
5,Port Alfred,ZA,-33.5906,26.891,297.24,93,100,7.22,overcast clouds
6,Atuona,PF,-9.8,-139.0333,298.52,77,14,5.51,light rain
7,Dunedin,NZ,-45.8742,170.5036,284.71,82,100,4.47,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,280.96,61,75,5.14,broken clouds
9,Kichera,RU,55.9375,110.0997,245.4,84,3,2.31,clear sky
10,Lichinga,MZ,-13.3128,35.2406,289.01,98,100,1.55,light rain
11,East London,ZA,-33.0153,27.9116,297.09,86,20,1.19,few clouds
12,Mesaria,GR,36.3985,25.4459,284.65,59,100,2.04,overcast clouds
13,Bukama,CD,-9.2,25.85,292.73,97,100,1.07,light rain
14,Linhares,BR,-19.3911,-40.0722,296.03,94,100,1.43,overcast clouds
15,Padang,ID,-0.9492,100.3543,298.18,72,100,1.15,overcast clouds
16,Jamestown,US,42.097,-79.2353,268.2,51,100,3.6,overcast clouds
17,Kotovo,RU,50.3211,44.8012,264.15,98,75,4.01,broken clouds
18,Gizo,SB,-8.103,156.8419,301.4,69,67,0.94,light rain
19,Salalah,OM,17.0151,54.0924,296.2,64,20,1.54,few clouds
20,Inhambane,MZ,-23.865,35.3833,296.76,76,61,3.49,broken clouds
21,Normandin,CA,48.8333,-72.5321,252.32,64,14,7.2,few clouds
22,Kirakira,SB,-10.4544,161.9205,302.61,69,43,1.8,scattered clouds
23,Busselton,AU,-33.65,115.3333,295.4,50,0,4.88,clear sky
24,Egvekinot,RU,66.3167,-179.1667,246.5,87,11,2.86,few clouds
25,Georgetown,MY,5.4112,100.3354,301.11,77,20,3.09,few clouds
26,Barrow,US,71.2906,-156.7887,237.16,98,20,3.6,few clouds
27,Ambatondrazaka,MG,-17.8333,48.4167,291.04,94,100,1.13,overcast clouds
28,Hervey Bay,AU,-25.2986,152.8535,303.17,60,80,8.56,broken clouds
29,Hilo,US,19.7297,-155.09,300.0,70,0,4.12,clear sky
30,Saint-Pierre,RE,-21.3393,55.4781,298.95,78,0,2.57,clear sky
31,Clyde River,CA,70.4692,-68.5914,246.28,76,100,15.95,snow
32,Lebu,CL,-37.6167,-73.65,287.66,90,100,3.85,overcast clouds
33,Muyezerskiy,RU,63.9333,31.65,255.26,100,100,1.54,overcast clouds
34,Hermanus,ZA,-34.4187,19.2345,294.15,80,87,2.6,overcast clouds
35,Imbituba,BR,-28.24,-48.6703,297.49,80,0,5.03,clear sky
36,Tasiilaq,GL,65.6145,-37.6368,261.24,66,100,2.36,overcast clouds
37,Pacific Grove,US,36.6177,-121.9166,299.26,50,0,2.68,clear sky
38,Manicore,BR,-5.8092,-61.3003,297.2,89,54,0.37,broken clouds
39,Hobart,AU,-42.8794,147.3294,299.27,45,75,8.75,broken clouds
40,Princeton,US,25.5384,-80.4089,297.6,90,0,1.54,clear sky
41,Torbay,CA,47.6666,-52.7314,281.58,72,75,10.29,broken clouds
42,Moron,AR,-34.6534,-58.6198,292.03,50,1,2.55,clear sky
43,Rikitea,PF,-23.1203,-134.9692,299.17,71,0,7.52,clear sky
44,Xiamen,CN,24.4798,118.0819,289.18,82,40,1.0,light rain
45,Vaini,TO,-21.2,-175.2,304.24,79,20,4.63,few clouds
46,Vila Velha,BR,-20.3297,-40.2925,297.12,94,75,1.03,moderate rain
47,Bluff,NZ,-46.6,168.3333,284.71,76,100,6.64,overcast clouds
48,Agen,FR,44.2,0.6333,281.88,93,0,3.6,clear sky
49,Halifax,CA,44.6453,-63.5724,280.42,91,13,9.26,few clouds
50,Saskylakh,RU,71.9167,114.0833,252.12,75,49,3.46,scattered clouds
